N,P,K,temperature,humidity,ph,rainfall,label
46.04,68.64,75.62,19.05,18.84,7.29,66.56,chickpea
51.45,60.03,77.59,17.66,15.98,8.12,80.58,chickpea
28.2,76.95,83.8,20.48,15.43,7.26,94.55,chickpea
50.88,55.68,75.65,18.86,19.46,7.51,79.93,chickpea
24.22,71.42,83.22,18.52,18.65,8.7,71.11,chickpea
40.93,62.18,82.93,19.31,17.81,8.23,76.88,chickpea
37.45,68.33,16.58,21.96,23.55,5.66,137.15,kidneybeans
37.18,61.92,24.84,16.41,19.41,5.59,140.46,kidneybeans
29.63,58.8,19.4,21.15,18.58,5.94,132.32,kidneybeans
25.16,79.18,19.18,24.84,22.68,5.82,74.94,kidneybeans
36.46,65.69,16.62,15.13,21.92,5.76,124.74,kidneybeans
36.71,56.99,22.31,16.87,24.01,5.91,108.67,kidneybeans
31.31,62.86,19.71,23.22,21.21,5.68,104.48,kidneybeans
34.85,63.38,16.74,22.12,23.78,5.55,81.59,kidneybeans
14.26,63.7,19.5,22.49,22.56,5.81,91.71,kidneybeans
35.24,66.78,24.79,21.34,18.88,5.84,89.26,kidneybeans
30.59,56.74,16.75,23.56,19.59,5.92,85.13,kidneybeans
29.29,72.35,20.13,18.05,19.49,5.52,87.36,kidneybeans
29.59,78.46,23.71,22.66,23.52,5.83,83.43,kidneybeans
37.22,71.77,20.6,16.11,21.13,5.73,137.81,kidneybeans
26.4,64.51,24.77,16.11,20.96,5.52,126.59,kidneybeans
37.54,62.0,23.58,17.92,24.38,5.88,132.44,kidneybeans
10.54,79.07,22.27,18.05,23.81,5.64,138.55,kidneybeans
13.38,72.59,20.41,15.97,19.69,5.51,102.19,kidneybeans
19.04,69.96,17.97,18.0,23.2,5.52,141.26,kidneybeans
35.57,71.7,20.93,23.92,19.3,5.54,81.56,kidneybeans
33.84,55.87,20.83,24.95,23.99,5.76,65.73,kidneybeans
34.94,69.97,16.15,15.94,24.37,5.83,134.64,kidneybeans
36.37,69.29,20.17,19.3,20.22,5.72,129.65,kidneybeans
28.06,77.31,19.43,21.07,22.42,5.8,123.24,kidneybeans
17.12,67.81,16.04,18.85,21.41,5.83,145.55,kidneybeans
28.02,73.59,20.06,21.34,18.5,5.63,92.57,kidneybeans
24.17,56.14,16.4,17.77,24.8,5.67,103.38,kidneybeans
15.88,70.27,17.81,17.07,21.62,5.5,60.69,kidneybeans
16.57,55.92,16.08,18.39,23.62,5.79,106.14,kidneybeans
18.8,78.29,18.97,15.87,22.32,5.56,91.07,kidneybeans
25.22,76.86,19.94,22.02,24.95,5.57,84.73,kidneybeans
21.84,65.55,19.11,24.08,23.0,5.8,87.84,kidneybeans
34.71,78.88,23.21,15.02,22.45,5.53,83.18,kidneybeans
11.79,70.09,21.87,16.14,20.69,5.73,93.21,kidneybeans
13.63,65.47,22.51,15.71,18.56,5.68,144.76,kidneybeans
30.06,71.97,18.62,20.94,18.07,5.82,142.2,kidneybeans
28.38,76.84,22.24,16.21,24.32,5.53,108.06,kidneybeans
14.26,55.29,19.22,17.95,21.4,5.79,63.94,kidneybeans
13.69,68.97,18.43,22.29,22.57,5.92,122.32,kidneybeans
22.9,71.82,17.75,18.06,23.52,5.72,131.85,kidneybeans
34.67,76.44,24.17,19.31,20.23,5.79,93.41,kidneybeans
28.03,72.64,21.88,18.75,19.17,5.72,72.83,kidneybeans
36.7,63.65,16.54,15.25,22.52,5.82,90.65,kidneybeans
12.15,65.24,18.11,21.77,22.24,5.68,79.61,kidneybeans
39.64,66.35,21.88,16.41,21.4,5.51,105.49,kidneybeans
38.92,64.61,15.39,15.31,20.72,5.58,62.1,kidneybeans
32.69,66.46,17.89,24.0,18.81,5.98,88.26,kidneybeans
36.65,70.07,23.27,24.84,20.02,5.98,95.05,kidneybeans
21.57,63.51,20.41,16.54,21.88,5.77,128.57,kidneybeans
35.01,66.01,18.02,17.59,19.36,5.53,90.82,kidneybeans
18.11,79.16,20.58,18.47,22.06,5.57,99.96,kidneybeans
28.79,67.22,19.02,24.94,24.16,5.81,111.24,kidneybeans
28.62,60.03,18.95,15.39,21.33,5.77,80.5,kidneybeans
38.92,77.74,22.22,20.33,24.09,5.57,131.15,kidneybeans
13.74,74.86,17.76,23.77,24.61,5.57,101.64,kidneybeans
39.43,67.09,23.64,20.89,20.63,5.64,78.29,kidneybeans
32.85,64.66,20.11,19.92,22.04,5.93,148.27,kidneybeans
22.23,75.69,22.65,20.74,24.69,5.6,69.83,kidneybeans
35.62,65.98,23.47,23.93,18.44,5.94,100.35,kidneybeans
25.31,70.66,24.26,15.19,21.34,5.84,125.04,kidneybeans
30.78,58.36,17.99,18.59,23.63,5.64,78.96,kidneybeans
38.72,55.22,24.98,21.77,23.8,5.65,61.29,kidneybeans
32.14,75.85,22.4,16.43,23.27,5.88,119.27,kidneybeans
32.98,76.15,21.14,15.89,21.41,5.54,96.68,kidneybeans
22.21,56.65,18.49,16.11,23.66,5.97,66.51,kidneybeans
38.65,68.06,18.0,15.77,21.5,5.9,123.64,kidneybeans
11.51,56.82,19.03,17.95,19.63,5.64,132.31,kidneybeans
37.88,65.13,24.06,18.21,21.34,5.61,117.64,kidneybeans
39.37,70.09,18.58,21.48,18.86,5.94,105.28,kidneybeans
23.48,69.65,21.25,15.72,22.78,5.62,124.26,kidneybeans
34.68,75.1,20.53,20.2,19.0,5.89,84.43,kidneybeans
24.9,62.11,16.34,21.3,18.38,5.87,88.58,kidneybeans
10.0,67.78,15.47,17.76,22.95,5.53,135.54,kidneybeans
10.11,61.17,22.41,18.16,18.71,5.68,84.34,kidneybeans
35.28,62.83,22.89,23.92,21.04,5.95,93.96,kidneybeans
38.92,57.23,21.87,19.94,20.71,5.82,123.35,kidneybeans
10.13,59.17,22.13,21.66,24.76,5.88,145.57,kidneybeans
31.08,62.45,16.05,22.82,22.51,5.52,92.4,kidneybeans
38.7,67.51,19.33,19.58,19.46,5.68,93.28,kidneybeans
11.57,74.19,19.17,23.22,23.95,5.61,119.16,kidneybeans
24.17,77.0,17.16,21.78,22.25,5.65,72.29,kidneybeans
29.55,73.46,18.16,21.45,20.77,5.86,77.93,kidneybeans
36.71,62.19,18.68,15.58,18.78,5.76,84.08,kidneybeans
35.06,55.37,18.79,18.37,18.14,5.56,97.23,kidneybeans
24.79,65.11,20.31,20.95,18.07,5.73,146.71,kidneybeans
25.57,71.94,18.12,22.74,23.41,5.76,147.84,kidneybeans
13.77,55.42,22.7,23.07,18.84,5.63,61.58,kidneybeans
18.8,74.33,20.18,18.48,20.6,5.5,86.98,kidneybeans
29.39,79.35,23.47,15.24,24.29,5.89,130.23,kidneybeans
23.74,64.95,18.03,15.66,19.6,5.62,103.57,kidneybeans
32.42,66.85,15.58,24.58,24.6,5.89,149.22,kidneybeans
26.33,79.07,15.76,18.66,19.58,5.6,72.67,kidneybeans
28.67,74.53,20.78,16.47,23.68,5.82,94.93,kidneybeans
30.22,61.5,18.45,24.17,20.03,5.73,140.11,kidneybeans
31.23,56.56,16.47,15.08,22.42,5.72,72.08,kidneybeans
38.74,68.24,17.42,20.01,22.76,5.54,84.72,kidneybeans
34.21,66.49,20.47,19.33,18.31,5.58,100.1,kidneybeans
16.28,56.25,23.44,24.81,23.55,5.93,81.78,kidneybeans
38.82,59.92,24.51,24.95,22.98,5.99,111.26,kidneybeans
17.79,65.92,20.94,15.73,22.36,5.99,77.11,kidneybeans
33.78,77.7,24.44,37.56,58.04,7.43,173.3,pigeonpeas
14.85,66.92,22.18,29.72,61.02,6.5,107.9,pigeonpeas
26.95,74.29,19.99,27.13,45.23,5.57,191.88,pigeonpeas
16.86,70.86,17.22,30.54,66.2,6.69,100.49,pigeonpeas
22.86,55.73,19.81,34.29,47.96,5.37,133.76,pigeonpeas
37.59,79.83,15.45,35.37,54.29,5.68,172.97,pigeonpeas
37.55,78.77,20.77,30.93,64.69,5.25,152.05,pigeonpeas
20.76,71.42,17.4,29.11,67.96,4.81,145.66,pigeonpeas
16.63,55.97,15.36,28.93,66.67,5.35,194.55,pigeonpeas
27.45,65.92,20.8,32.68,63.97,5.35,128.84,pigeonpeas
36.82,78.66,23.93,31.61,64.51,5.93,144.73,pigeonpeas
16.14,69.78,16.86,30.65,66.38,5.12,97.83,pigeonpeas
12.07,78.52,20.07,31.5,65.27,7.01,126.54,pigeonpeas
30.81,74.28,21.55,28.67,66.9,6.12,121.07,pigeonpeas
22.76,55.94,16.28,35.42,45.0,5.75,147.48,pigeonpeas
11.64,79.33,17.26,30.35,52.6,5.19,90.16,pigeonpeas
31.88,79.17,17.24,34.29,63.55,7.05,136.49,pigeonpeas
19.09,63.13,22.13,35.98,49.54,5.61,189.21,pigeonpeas
34.2,79.62,22.54,31.33,59.77,6.48,98.63,pigeonpeas
26.33,72.73,16.67,35.59,59.59,7.36,94.67,pigeonpeas
17.96,70.04,17.97,34.86,63.98,4.81,146.52,pigeonpeas
25.27,64.23,24.33,36.1,62.43,6.64,140.79,pigeonpeas
37.63,72.36,22.29,36.48,51.85,6.92,111.48,pigeonpeas
20.36,63.39,24.79,36.42,62.53,6.68,151.83,pigeonpeas
38.41,67.41,18.81,28.79,64.66,6.7,132.28,pigeonpeas
10.76,75.97,15.11,34.74,69.26,5.81,115.85,pigeonpeas
